raw_term,source,raw_term_norm,exists_in_esco
HTML/CSS,StackOverflow,htmlcss,False
Bash/Shell,StackOverflow,bashshell,False
Go,StackOverflow,go,False
Rust,StackOverflow,rust,False
Kotlin,StackOverflow,kotlin,False
Dart,StackOverflow,dart,False
VBA,StackOverflow,vba,False
GDScript,StackOverflow,gdscript,False
Elixir,StackOverflow,elixir,False
Delphi,StackOverflow,delphi,False
MicroPython,StackOverflow,micropython,False
Zig,StackOverflow,zig,False
F#,StackOverflow,f,False
Gleam,StackOverflow,gleam,False
Mojo,StackOverflow,mojo,False
SQLite,StackOverflow,sqlite,False
Microsoft SQL Server,StackOverflow,microsoft sql server,False
Redis,StackOverflow,redis,False
MongoDB,StackOverflow,mongodb,False
MariaDB,StackOverflow,mariadb,False
Elasticsearch,StackOverflow,elasticsearch,False
Oracle,StackOverflow,oracle,False
Dynamodb,StackOverflow,dynamodb,False
BigQuery,StackOverflow,bigquery,False
Supabase,StackOverflow,supabase,False
Cloud Firestore,StackOverflow,cloud firestore,False
H2,StackOverflow,h2,False
Firebase Realtime Database,StackOverflow,firebase realtime database,False
Cosmos DB,StackOverflow,cosmos db,False
Snowflake,StackOverflow,snowflake,False
InfluxDB,StackOverflow,influxdb,False
Databricks SQL,StackOverflow,databricks sql,False
DuckDB,StackOverflow,duckdb,False
Cassandra,StackOverflow,cassandra,False
Neo4J,StackOverflow,neo4j,False
Valkey,StackOverflow,valkey,False
Clickhouse,StackOverflow,clickhouse,False
Amazon Redshift,StackOverflow,amazon redshift,False
Cockroachdb,StackOverflow,cockroachdb,False
Pocketbase,StackOverflow,pocketbase,False
Datomic,StackOverflow,datomic,False
Docker,StackOverflow,docker,False
npm,StackOverflow,npm,False
Amazon Web Services (AWS),StackOverflow,amazon web services aws,False
Pip,StackOverflow,pip,False
Kubernetes,StackOverflow,kubernetes,False
Microsoft Azure,StackOverflow,microsoft azure,False
Homebrew,StackOverflow,homebrew,False
Vite,StackOverflow,vite,False
Google Cloud,StackOverflow,google cloud,False
Make,StackOverflow,make,False
Yarn,StackOverflow,yarn,False
Cloudflare,StackOverflow,cloudflare,False
NuGet,StackOverflow,nuget,False
APT,StackOverflow,apt,False
Webpack,StackOverflow,webpack,False
Terraform,StackOverflow,terraform,False
Maven (build tool),StackOverflow,maven build tool,False
Cargo,StackOverflow,cargo,False
Gradle,StackOverflow,gradle,False
pnpm,StackOverflow,pnpm,False
Firebase,StackOverflow,firebase,False
Prometheus,StackOverflow,prometheus,False
Podman,StackOverflow,podman,False
Chocolatey,StackOverflow,chocolatey,False
Composer,StackOverflow,composer,False
MSBuild,StackOverflow,msbuild,False
Digital Ocean,StackOverflow,digital ocean,False
Vercel,StackOverflow,vercel,False
Poetry,StackOverflow,poetry,False
Datadog,StackOverflow,datadog,False
Pacman,StackOverflow,pacman,False
Netlify,StackOverflow,netlify,False
Bun,StackOverflow,bun,False
Heroku,StackOverflow,heroku,False
Ninja,StackOverflow,ninja,False
Splunk,StackOverflow,splunk,False
New Relic,StackOverflow,new relic,False
Railway,StackOverflow,railway,False
Visual Studio Code,StackOverflow,visual studio code,False
Visual Studio,StackOverflow,visual studio,False
Notepad++,StackOverflow,notepad,False
IntelliJ IDEA,StackOverflow,intellij idea,False
Vim,StackOverflow,vim,False
Cursor,StackOverflow,cursor,False
PyCharm,StackOverflow,pycharm,False
Android Studio,StackOverflow,android studio,False
Jupyter Nb/JupyterLab,StackOverflow,jupyter nbjupyterlab,False
Neovim,StackOverflow,neovim,False
Nano,StackOverflow,nano,False
Sublime Text,StackOverflow,sublime text,False
Claude Code,StackOverflow,claude code,False
WebStorm,StackOverflow,webstorm,False
Zed,StackOverflow,zed,False
Rider,StackOverflow,rider,False
VSCodium,StackOverflow,vscodium,False
PhpStorm,StackOverflow,phpstorm,False
Windsurf,StackOverflow,windsurf,False
RustRover,StackOverflow,rustrover,False
Lovable.dev,StackOverflow,lovabledev,False
Bolt,StackOverflow,bolt,False
Cline and/or Roo,StackOverflow,cline andor roo,False
Aider,StackOverflow,aider,False
Trae,StackOverflow,trae,False
MSBuild,Lightcast,msbuild,False
Digital Ocean,Lightcast,digital ocean,False
Vercel,Lightcast,vercel,False
Poetry,Lightcast,poetry,False
Datadog,Lightcast,datadog,False
Pacman,Lightcast,pacman,False
Netlify,Lightcast,netlify,False
Bun,Lightcast,bun,False
Supabase,Lightcast,supabase,False
Heroku,Lightcast,heroku,False
Ninja,Lightcast,ninja,False
Splunk,Lightcast,splunk,False
New Relic,Lightcast,new relic,False
Railway,Lightcast,railway,False
IBM Cloud,Lightcast,ibm cloud,False
Yandex Cloud,Lightcast,yandex cloud,False
Sprint Retrospectives,Lightcast,sprint retrospectives,False
Test-Driven Development (TDD),Lightcast,testdriven development tdd,False
Timeboxing,Lightcast,timeboxing,False
Tuleap,Lightcast,tuleap,False
Unified Process,Lightcast,unified process,False
XPlanner-Plus,Lightcast,xplannerplus,False
.NET Remoting,Lightcast,net remoting,False
Action Filter,Lightcast,action filter,False
AdonisJS,Lightcast,adonisjs,False
Amazon API Gateway,Lightcast,amazon api gateway,False
Amazon Flexible Payments Services,Lightcast,amazon flexible payments services,False
Amazon MWS,Lightcast,amazon mws,False
Amazon Product Advertising API,Lightcast,amazon product advertising api,False
Amazon Translate,Lightcast,amazon translate,False
Apache Apex,Lightcast,apache apex,False
API Design,Lightcast,api design,False
API Gateway,Lightcast,api gateway,False
API Management,Lightcast,api management,False
API System Integration,Lightcast,api system integration,False
API Throttling,Lightcast,api throttling,False
Apollo Client,Lightcast,apollo client,False
Apollo Server,Lightcast,apollo server,False
